"","sent","freq"
"1","Dear Alok; Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University",1
"2","We have uploaded them into our MAP system and it should be reflected in your account within 24 hours",228
"3","The scanned version of your transcript is the only requirement for your application, we will ask for an official transcript if you are accepted into the program",213
"5","We will announce our admission decisions on March 18th",236
"10","Hello Darren: We currently have only had two classes come through our program, we are a relatively new Masters Program here at NU",1
"11","Our first cohort had 32 students accepted but only 30 students enrolled",1
"12","Our second cohort was the full 32 students",1
"13","We will only accept 32 this year as well",1
"14","In terms of project work and in keeping with our goal to provide a cohort system we are unlikely to be expanding the numbers much in the future",1
"15","I hope this answers your question, please let me know if there is anything else I can help you with",1
"17","McCormick School of Engineering and Applied Science 2145 Sheridan Rd, E278 Evanston, IL 60208 T: 847.467.4520 F: 847.491.8005 www.analytics.northwestern.edu <http://www.analytics.northwestern.edu/> From: Darren Thomas .",1
"18","Hello Stephanie: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",1
"19","To answer your question when we are evaluating a transcript we look for candidates to have a background in statistics",1
"20","It is beneficial to have both calculus and linear algebra on the transcript as well, but not necessarily required",1
"21","Our current student profile has the majority of accepted students coming from an Engineering background (38%), so I would agree that the engineering background is well suited for this program",1
"22","The Master of Science in Analytics degree from the McCormick School of Engineering and Applied Science is uniquely suited for either graduating seniors or individuals with industry experience who wish to prepare themselves for the demands of the 21st century job market",268
"23","Below is more information about the admissions profile from our last applicant pool: Profile of the 2013 student cohort: total number of students: 32, Average age: 27, Gender mix: Male 69%, Female 31%, Nationality: US 62.5%, International 37.5%",223
"24","Background by academic major: 38% Engineering and Computer Science, 28% Economics and Social Sciences, 19% Mathematics and Statistics, 13% Business and Management Sciences, 3% Natural Sciences",247
"25","Background by Industry Experience (though industry experience is not required for consideration): 34% None, 28% Consulting and Professional Services, 22% Information Technology, 6% Academia, 6% Finance, 4% Engineering Applications will be accepted as early as September 16, 2013 for students entering in Fall 2014, and the deadline will be in February 15, 2014",203
"26","We are also scheduling an online information session for November 15th at Noon CT please fill out the <http://www.analytics.northwestern.edu/admission/Registration%20of%20Interest.html> registration of interest form if you would like to get more information about this session",28
"29","McCormick School of Engineering and Applied Science 2145 Sheridan Rd, E278 Evanston, IL 60208 T: 847.467.4520 F: 847.491.8005 <http://www.analytics.northwestern.edu/> www.analytics.northwestern.edu From: Stephanie Young Sun Kwon Sent: Sunday, November 10, 2013 10:27 PM To: Master of Science in Analytics Subject: question about application Hi, I have a question regarding applying to master program in analytics",1
"30","My husband is interested in applying to this program, and he is currently working as a chemical engineer in Hanwha Chemical, one of the leading chemical company in Korea",1
"31","He graduated chemical engineering from Seoul National University",1
"32","In terms of applying to master program in department of analytics, is it required to have taken classes of linear algebra or advanced mathematics other than calculus",1
"33","He has taken calculus and mathematics for engineers but not other than that",1
"34","He is open to take summer course before the class starts, if he can get admission, but we are not sure if the courses are crucial to get admission or not",1
"35","Also, it would be very helpful for us to know if having engineering background makes us suitable for this program or not",1
