"as.numeric.rownames.extract_questions.mydata.question...","extract_questions.mydata.question..text"
1,"Hi Victoria, I still didn't get any resposne from you on my application status, could you please help check?"
10,"So if it's possible, could you please help check my application status and feedback to me as soon as possible?"
55,"As China new year festival is coming, I just wonder if I submit the application before Feb 15 while one recommendation letter arrives a bit later, will you still consider my application?"
56,"Hi One of my recommenders was sick, and he probably cannot submit the recommendation letter on time, so if I add an additional name to the alternate references list, can he will be replaced by the new one?"
63,"I wonder if is OK to send the sealed transcript from me?"
72,"Thanks & Regards Rahul Chatterjee ?"
144,"Who Is the best person for me to contact?"
147,"My Gmat: 580 TOEFL:103 I have also attached my Profile in this email Kindly let me know if i am suitable for this course?"
157,"- As far as computer knowledge is concerned i know MS office,Minitab, little about VB, Do i need to know any particular languages or programming for this course?"
158,"- I have done all my education from India, Attached is my education evaluation, Do I still need to give TOEFL or any other evaluation?"
159,"- How about job prospects after this course?"
176,"Can you please let me know whether analytics program qualifies for STEM opt extension?"
177,"When does the classes for fall 2014?"
178,"Do you offer spring admissions?"
191,"Is GRE required for admission in MS computer science?"
192,"Can University waive requirement of GRE based on GMAT score and engineering background?"
196,"Do I have to give TOEFL again?"
198,"Based on my international exposure can University waive TOEFL?"
200,"Hi, Does the MS in Business analytics from your institute recognized as STEM program?"
218,"How am I supposed to send the scores to you ?"
219,"2) What is the minimum GRE score required by this course ?"
254,"Is there any chance of still being admitted this year?"
258,"in Analytics program, what is the procedure for re-applicants?"
278,"Would you please let me know the details of a contact person and a good time to talk to?"
286,"in Analytics program?"
295,"Do I need to order an official GRE score sent to you?"
320,"What is the score needed?"
346,"Could I provide you with my inofficial score for the application first?"
347,"Do I have to provide any proof for that?"
348,"Hi, Could you please help me with the following question?"
349,"If one of my letters of recommendation arrives after the application deadline, while all other materials are submitted on time, would the application be considered late?"
351,"Do I still have to provide IELTS score for my application?"
353,"5 on 06/09/2012, which is a little bit longer than two years bythe date of matriculation, while there is not enough time for me to retake IELTS before the application dead, could I submit this score temporary and retake a IELTS later on?"
376,"What should I do right now?"
377,"Does both acceptable?"
379,"Hi I am applying for the Master of Analytics program and I have a quick question: for the GRE scores I reported them but do I need to send the scores from ETS to you all?"
380,"If so which code should I use?"
395,"Does this program address entrepreneurship or provide any opportunities to work with startups?"
397,"Based on historical record, what is the acceptance rate for this particular program?"
416,"- Are there any pre-requisites for admission into the program?"
420,"I know it is not required but if I do want to submit my score for your consideration, what institution code I should fill in?"
422,"Dear Victoria, Thank you so much :) Regards Rahul ?"
431,"Where can I find it ?"
452,"Is my application packaged considered completed for review?"
455,"Could you please help me to verify the recipient of the GRE score report from ETS?"
466,"I was just wondering what was the time frame for reviewing applicants and around what time would I hear a response on my application?"
472,"My letters of recommendation may be from 3 professional references instead of academic ones?"
475,"The official and translated transcripts and diplomas may be e-mailed?"
476,"Or it is mandatory to send them by regular mail?"
481,"For the score report of GMAT, should I ask the official institute of GMAT send you the official copy or just email you?"
497,"Since I am not allowed to get in the application system this moment, could you please help me send the email request to her again?"
500,"Could you please help me to verify the recipient of the GRE score report from ETS?"
510,"Will I still be eligible to apply for this course with the score of the test taken on February 11, 2012?"
520,"Is it acceptable to submit IELTS score instead of TOEFL, and what is required score for IELTS?"
524,"If yes what are the courses that will be involved in the exam?"
532,"S in summer,2015, could you please tell me when you open the registration and when I will get the confirmation from you If I am accepted?"
535,"s and PhD to evaluate myself?"
539,"Can you provide an estimated timeframe to hear the decision?"
540,"For instance, if an applicant applies in the early Oct, when he/she can hear back with a decision?"
543,"I live in Zimbabwe and would like to inquire if this program is available online or on distance learning?"
546,"Would there be any possibility I can still apply for this program?"
594,"I was wondering if there was such things for MSiA?"
597,"Can you please update the deadlines for the Spring semester?"
605,"Is there a person I could contact about the program?"
608,"In the sake of time, could you please tell me if the MS in Analytics program is STEM accredited or not?"
609,"Hi, What is the Deadline to apply for MS in Analytics Fall 2015?"
621,"Did my mail box miss anything?"
627,"Do I still need to provide TOEFL test scores to apply?"
634,"First of all, I wonder if I'm going to be admitted to the program?"
638,"I wonder if this is competitive?"
639,"Do I need to take a GRE test to increase my chance?"
640,"If I do, which part of the test should I focus on?"
643,"Do you guys consider the assay writing section important?"
648,"Is this the same link that you refer to when you say MAP?"
670,"To enhance my admission and capability, may I ask which aspect I could improve in the future?"
671,"In addition, Is it possible for me to re-apply this program of Spring semester?"
688,"Is my application complete and under review now?"
689,"When can I get an admission result?"
704,"Victoria, Do you know when admission decision will come out for Fall session?"
710,"Can you please send me a brochure for the Analytics program?"
712,"Hello Sir, Are you still accepting international students applications for MSA?"
733,"Is there someone I could speak to directly?"
743,"What are the historical acceptance rates for this program?"
745,"What qualities are the admissions committee looking for in a successful candidate?"
755,"Would a mentor qualify as a supervisory role for the letter of recommendation or does it have to be a manager level person?"
756,"Would getting a letter of recommendation from the real estate development companies I negotiated with work?"
759,"Will this be sufficient for entering the program?"
761,"Now, are these languages taught in courses or is the student responsible for learning on his/her own?"
763,"Regarding the placement for the summer internships, it is required, but is it guaranteed?"
764,"Also, do students get a choice or are they designated companies?"
765,"Are these companies the same every year?"
772,"May I request a tour of campus or attend a MSA class?"
778,"* 3 years in PIA Finance & Management Department * 6 month Internship PIA Finance & Management Department Skills : Computer Software * SAP Financial Accounting * MS Office * Adobe Photoshop * Proficient User of Java, C++, and SQL * Computer Hardware / Operating Systems * Microsoft Windows XP, Vista, Win 7 and MAC Operating Systems * Computer Hardware and Internet Networking using LAN technology Without GRE or GMAT Can i apply this programme Can u tell me i am eligible for this course?"
783,"I wonder where can I find my admission result?"
790,"Put simply, Is this program a good choice for those looking for expansive careers in the digital business analytics space or is this more geared towards engineering students?"
800,"Do I still have to provide IELTS score for my application?"
802,"5 on 06/09/2012, which is a little bit longer than two years bythe date of matriculation, while there is not enough time for me to retake IELTS before the application dead, could I submit this score temporary and retake a IELTS later on?"
806,"So can you show me the link that I can check my status or are you still in process?"
811,"Are students informed only if they are selected for this course?"
866,"Hi, Is there any way you could send back the letter of recommendation for Jalaja Repalle, one of my recommenders?"
870,"Are applicants able to receive any further information regarding this?"
873,"Would you please let me know how to strengthen my quality in order to get in next year?"
883,"Do I have to request official report right now?"
886,"I was wondering if you could check whether or not the payment has been received?"
889,"Are all my files under review now, and when will I receive your favorable interview notification?"
890,"What can I do now while waiting for your decision on my application?"
898,"Do I need to take TOEFL?"
900,"What is the deadline date of admission for international students?"
901,"In case the deadline is over, do i still have any scope to apply for course for the upcoming session?"
903,"Is GRE/GMAT score mandatory?"
906,"Can i substitute my GRE Score in place of GMAT Score?"
908,"Is there any scope of financial aid/ scholarship for International students?"
909,"What are the prerequisites for scholarship?"
911,"How are the career prospects after MS in Business Analytics?"
912,"Does the university provide any kind of placement assistance?"
916,"Can you please send me the same?"
923,"Will it be available on the university website or will it be sent through emails?"
927,"Was I supposed to be notified of my decision?"
951,"Hi, Are the results out already?"
958,"Is there any way for me to appeal for a position in the course?"
969,"Would you mind tell me the reason?"
1027,"Is there any way I can check the status of the application?"
1031,"Could you please kindly tell me when the application result will come out?"
1040,"At this point, is there anything I could do?"
1041,"Is my application status completed?"
1043,"I really want to make it flawless and can I know the approximate time for the decision making?"
1058,"I am wondering will the committee still review my materials?"
1079,"Could you please let me know whether it is possible for you to make the decision on my application before March 15th?"
1094,"Could you send me syllabuses of these two courses?"
1098,"Is there any opportunity that I can learn from class?"
1115,"I wonder is it possible for you to do me a favor and notify me the result by this Friday ?"
1144,"Would you like to respectively introduce me all the specific instructions on this part?"
1147,"Sincerely, Best Regards Erin Teng ?"
1156,"Does it affect you to review my application?"
1189,"Could you please tell me if this information is available yet?"
1192,"Are there any avenues for a late application or the possibility of being wait-listed if the program is full?"
1196,"Is there anything that I should/could be doing in this period, - perhaps any 'documents' formality or anything to add to my application or to strengthen my candidacy?"
1199,"Hi, What level of mathematics should prospective students have in order to enter the program?"
