,sent,freq
12," McCormick School of Engineering and Applied Science 2145 Sheridan Rd, E278 Evanston, IL 60208 T: 847",111
13,467,111
14,4520 F: 847,111
15,491,111
10, Victoria L,89
11," Richmond Program Assistant 3, Master of Science in Analytics Northwestern University Robert R",89
16,8005 Follow us on Twitter ,89
40,analytics,66
41,northwestern,66
35, I hope this information is helpful to you,44
36," Thank you for your inquiry about the program, we are looking forward to having you as a potential applicant for Fall 2014",34
9, We look forward to reviewing your application,27
32, The Master of Science in Analytics degree from the McCormick School of Engineering and Applied Science is uniquely suited for either graduating seniors or individuals with industry experience who wish to prepare themselves for the demands of the 21st century job market,25
8, Please let me know if you have any additional questions regarding the MS in Analytics program,23
38," Richmond Program Assistant, Master of Science in Analytics Northwestern University Robert R",22
39,8005 www,21
58, We will announce our admission decisions on March 18th,21
229,edu/admission/Registration%20of%20Interest,21
56, We have uploaded them into our MAP system and it should be reflected in your account within 24 hours,20
57," The scanned version of your transcript is the only requirement for your application, we will ask for an official transcript if you are accepted into the program",19
33," Applications will be accepted as early as September 16, 2013 for students entering in Fall 2014, and the deadline will be in February 15, 2014",17
121," There is no formal GMAT or GRE cutoff score, but we do require a GPA of 3",17
122,0 or higher for consideration and enrollment is limited to 32 talented students each year,17
49,edu <http://www,16
119," Both GRE and GMAT test scores are accepted by the program, but neither are required for admission (though sending scores from one of the two tests is strongly encouraged to strengthen the application)",15
120," The admission for this program is very competitive and we do receive a lot of talented applicants, so industry experience, strong test scores, recommendations (a minimum of 3), and GPA are all taken into consideration",15
123," Below is more information about the admissions profile from our last applicant pool: Profile of the 2013 student cohort: total number of students: 32, Average age: 27, Gender mix: Male 69%, Female 31%, Nationality: US 62",14
124,"5%, International 37",14
125,5%,14
126," Background by academic major: 38% Engineering and Computer Science, 28% Economics and Social Sciences, 19% Mathematics and Statistics, 13% Business and Management Sciences, 3% Natural Sciences",14
127," Background by Industry Experience (though industry experience is not required for consideration): 34% None, 28% Consulting and Professional Services, 22% Information Technology, 6% Academia, 6% Finance, 4% Engineering Applications will be accepted as early as September 16, 2013 for students entering in Fall 2014, and the deadline will be in February 15, 2014",14
26,2,12
232,html> form if you would like to get more information about this session,12
184," Thank you for your inquiry about the program, we are looking forward to reviewing your application for Fall 2014",9
230,html> registration of interest form if you would like to get more information about this session,9
61, Our admissions committee can evaluate scanned pdf copies of your transcript,8
62," Due to the approaching deadline, I would recommend you to email us at ",8
231, We are also scheduling an online information session for January 17th at Noon CT please fill out the registration of interest <http://www,7
60," To answer your question, we do not require official transcripts until after you have been admitted to the program",6
142, Victoria,5
309, We are also scheduling an online information session for November 15th at Noon CT please fill out the <http://www,5
311, We are also scheduling an online information session for November 15th at Noon CT please fill out the registration of interest <http://www,5
4, We believe we can draw enough information from the remainder of an application package to make an assessment of a candidate's suitability for the program,4
5," In some cases, supplying a standardized test score may be recommended, particularly in instances where a high score might be indicative of abilities not demonstrated elsewhere in the application",4
6," During admissions for the 2013-14 cohort, approximately 75% of candidates provided scores",4
69," Please let me know if you have any additional questions, Victoria L",4
148, Please let me know if you have any additional questions,4
228, We are also scheduling an online information session for January 17th at Noon CT please fill out the <http://www,4
3, To answer your question concerning the GRE; neither the GRE nor the GMAT are required for admission to the Master of Science in Analytics but we will accept scores from applicants who choose to provide them to us,3
7, Our GRE code is 3672,3
116,3,3
173," Have a wonderful day, Victoria L",3
177," To answer your question, unfortunately, we have a very short turn around for applications",3
178, We pass off completed applications to our admissions committee the following week and there is not a lot of room in regards for late materials,3
179," That being said, we do have a few policies which will allow you to complete your application rather quickly",3
180," We do not request official transcripts while in the application process, we only ask for official mailed and sealed transcripts after you have been accepted to the program",3
181," The same idea applies to any additional materials (GRE/TOEFL scores, which are not required) we only ask for a PDF of your scores",3
182," In regards to your Letters of Recommendation, my advice is that you tell them it is a rushed letter and they can email the letter to this address when it is finished and I will attach it until your application is passed to the admissions committee",3
183, Please let me know if you have additional questions to this information,3
250, Please submit an electronic copy of transcripts from all post-secondary institutions attended whether you have received a degree or not,3
251, This includes degrees currently in progress and study abroad credit,3
17,Dear Alice; Our ETS code for the GRE is 3762,2
18, Unfortunately there is a 10 business day minimum for delivering GRE scores,2
19, Can you send us an ecopy of your score in the form of a PDF,2
20, Acknowledging your score on the ETS webpage,2
21," Thank you, Victoria L",2
22,Dear Alice; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
23, Please see below for answers to your two questions: 1,2
24," With regards to your TOEFL score, you will not need to submit a TOEFL score as long as the degree granting institution (Univ",2
25, of Michigan) is an English speaking institution,2
27," Unfortunately, we currently do not offer a PhD in Analytics",2
28, We only provide the MS degree,2
29," If you are looking to go into academia with analytics, the IEMS department here at Northwestern offers an Analytics focus",2
30, That may be a better fit for you if you are looking to get a PhD,2
31," Currently, I do not know of any institutions which offers Analytics as a field for PhD's",2
34, We are also scheduling an online information session today at Noon CT please fill out the registration of interest form if you would like to get more information about this session,2
37, Please let me know if you have any other questions Victoria L,2
59,Dear Ruchika; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
63,Dear Edgar; Thank you for reaching out to me with your questions regarding the MS in Analytics at Northwestern University,2
64, The breakdown for Letters of Recommendation is a suggestion of how we have seen applicants select their recommenders,2
65, I encourage you to find 3 individuals (whether academic or industry) who can speak best to your abilities to succeed with a degree from our institution,2
66, We will accept scanned transcripts via email,2
67, After you are accepted into the program we require official transcripts from your academic institutions,2
68," However, we will only require your scanned copies to evaluate for admissions",2
90," Regards, Victoria L",2
113,1,2
138,"Dear Lan, I can move your application into the complete file for you",2
139," However, we will need your current TOEFL score",2
140, If we decide to offer you a conditional acceptance we will reach out to you after we review your candidacy,2
141, But we cannot complete/review your application without your TOEFL,2
143, From: Prospective Student ,2
155,Dear Namratha; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
156," To answer your question about transcripts, please email us a scanned copy",2
157, I will upload this in at least 3-10 business days and it will be reflected in your application checklist,2
158, Our admissions review committee only requires a scanned version of your transcript,2
159," However, if you are accepted into our program we will require you to send us an official transcript for matriculation",2
160, In regards to your GRE score; as of January 24th we did not have an official code with the GRE,2
161," If you submitted your GRE score to Northwestern University it would be given to the central university admissions and we will not receive it in our office, there is nothing to distinguish which program you are applying to using Northwesterns code",2
162, We have just opened a code with the GRE (I apologize for the delay) and it is 3672,2
163, If you would like to have the GRE send us a report please use this code to reference our specific program at Northwestern University,2
164," However, this year due to the delay in the code, we will accept a scanned pdf of your GRE to upload into our system",2
165, If you would like to include that in an email I will update your account,2
166," Emailing us a scanned version, may be the quickest way to see your scores updated in the MAP system",2
167, I do note that you emailed us your transcript on 1/23,2
168, I will be uploading this to our system and you should see the change on your account within 24hours,2
176,"Dear Richard, Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
196,Dear Ricardo; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
